bls302_code,name_de,name_en,kcal_100g,water_g_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,sodium_mg_100g
B100000,Vollkornbrote,Wholemeal breads,198,43.042,7.295,1.201,38.747,8.115,527
B101000,Vollkornbrot,Wholemeal bread,198,43.042,7.295,1.201,38.747,8.115,527
B102000,Vollkornbrot-Vollkornschrotbrot,Wholemeal bread - coarse wholemeal bread,187,46.37,5.975,0.872,38.085,6.699,434
B105100,Vollkornbrot mit Soja,Wholemeal bread with soya,207,40.593,9.253,2.453,36.343,9.141,488
B105200,Vollkornbrot mit Kleie,Wholemeal bread with bran,197,41.301,7.741,1.378,37.669,10.009,500
B105400,Vollkornbrot mit Rosinen,Wholemeal bread with raisins,206,41.08,6.929,1.152,40.964,7.894,489
B105600,Vollkornbrot mit Gewürzen,Wholemeal bread with spices,201,42.252,7.298,1.268,39.426,8.045,511
B105700,Vollkornbrot mit Kümmel,Wholemeal bread with caraway seeds,203,41.968,7.694,1.629,38.701,8.261,511
B105800,Vollkornbrot mit Malz,Wholemeal bread with malt,201,42.529,7.159,1.193,39.747,7.801,509
B106000,Vollkornbrot mit Ölsamen,Wholemeal bread with oilseeds,219,40.132,8.689,3.06,38.45,7.944,488
B106100,Vollkornbrot mit Weizenkeimen,Wholemeal bread with wheat germ,209,39.141,9.238,1.928,38.01,8.983,480
B106200,Vollkornbrot mit Leinsamen,Wholemeal bread with linseeds,216,40.409,8.404,3.816,36.448,9.195,492
B106300,Vollkornbrot mit Sesam,Wholemeal bread with sesame seeds,225,40.005,8.302,4.845,36.632,8.342,491
B106400,Vollkornbrot mit Mohn,Wholemeal bread with poppy seeds,210,41.369,7.976,2.891,37.323,8.626,506
B106500,Vollkornbrot mit Sonnenblumenkernen,Wholemeal bread with sunflower seeds,219,40.132,8.689,3.06,38.45,7.944,488
B106600,Vollkornbrot mit Mandeln,Wholemeal bread with almonds,214,41.456,7.985,3.337,37.384,8.249,505
B107100,Vollkornbrot mit Milch,Wholemeal bread with milk,208,41.245,7.925,2.03,38.657,7.645,443
B107200,Vollkornbrot mit Sauermilch,Wholemeal bread with soured milk,195,43.616,7.252,1.279,37.804,7.686,437
B107300,Vollkornbrot mit Buttermilch,Wholemeal bread with buttermilk,193,43.854,7.265,1.005,37.825,7.69,438
B107400,Vollkornbrot mit Joghurt,Wholemeal bread with yogurt,195,43.523,7.295,1.302,37.829,7.684,437
B107500,Vollkornbrot mit Kefir,Wholemeal bread with kefir,195,43.628,7.246,1.279,37.784,7.689,437
B107800,Vollkornbrot mit Milcheiweiß,Wholemeal bread with milk protein,192,44.125,7.295,0.96,37.682,7.611,435
B111000,Vollkornbrot-Weizenvollkornbrot,Wholemeal bread - wholemeal wheat bread,203,41.965,7.554,0.86,40.691,7.41,462
B111072,Vollkornbrot-Weizenvollkornbrot geröstet,Wholemeal bread - wholemeal wheat bread toasted,208,40.721,7.716,0.878,41.563,7.569,472
B111100,Vollkornbrot-Weizenvollkornbrot mit Oliven,Wholemeal bread - wholemeal wheat bread with olives,253,44.19,5.492,15.152,22.521,6.311,2250
B112000,Vollkornbrot-Weizenvollkornbrot mit Karotten,Wholemeal bread - wholemeal wheat bread with carrots,214,42.402,7.918,2.648,39.147,5.504,503
B121000,Vollkornbrot-Roggenvollkornbrot,Wholemeal bread - wholemeal rye bread,198,43.042,7.295,1.201,38.747,8.115,527
B121072,Vollkornbrot-Roggenvollkornbrot geröstet,Wholemeal bread - wholemeal rye bread toasted,202,41.791,7.455,1.227,39.599,8.293,539
B121082,Vollkornbrot-Roggenvollkornbrot gebraten (zubereitet ohne Fett),Wholemeal bread - wholemeal rye bread fried (prepared without fat),198,43.042,7.295,1.201,38.747,8.115,527
B122000,Vollkornbrot-Roggenvollkornschrotbrot,Wholemeal bread - coarse wholemeal rye bread,187,46.37,5.975,0.872,38.085,6.699,434
B131000,Vollkornbrot-Hafervollkornbrot,Wholemeal bread - wholemeal oat bread,205,41.066,7.376,1.629,39.578,7.933,422
B141000,Vollkornbrot-Gerstenvollkornbrot,Wholemeal bread - wholemeal barley bread,204,40.911,7.435,1.086,40.391,7.825,423
B151000,Vollkornbrot-Weizenvollkornmischbrot,Wholemeal bread - mixed wholemeal wheat bread,207,41.193,7.612,1.302,40.417,7.237,424
B152000,Vollkornbrot-Weizenvollkornmischschrotbrot,Wholemeal bread - mixed coarse wholemeal wheat bread,212,40.91,7.777,1.232,41.624,6.323,422
B161000,Vollkornbrot-Weizen/Roggenvollkornbrot,Wholemeal bread - wholemeal wheat/rye bread,207,41.193,7.612,1.302,40.417,7.237,424
B162000,Vollkornbrot-Weizen/Roggenvollkornschrotbrot,Wholemeal bread - coarse wholemeal wheat/rye bread,212,40.91,7.777,1.232,41.624,6.323,422
B163000,Vollkornbrot-Weizen/Roggenvollkornschrottoastbrot,Wholemeal bread - coarse wholemeal wheat/rye toast,240,35.908,8.709,3.816,41.991,7.191,424
B163072,Vollkornbrot-Weizen/Roggenvollkornschrottoastbrot geröstet,Wholemeal bread - coarse wholemeal wheat/rye toast toasted,244,34.736,8.868,3.886,42.759,7.322,432
B163082,Vollkornbrot-Weizen/Roggenvollkornschrottoastbrot gebraten (zubereitet ohne Fett),Wholemeal bread - coarse wholemeal wheat/rye toast fried (prepared without fat),240,35.908,8.709,3.816,41.991,7.191,424
B171000,Vollkornbrot-Roggenvollkornmischbrot,Wholemeal bread - mixed wholemeal rye bread,205,41.053,7.372,1.221,40.463,7.627,421
B172000,Vollkornbrot-Roggenvollkornmischschrotbrot,Wholemeal bread - mixed coarse wholemeal rye bread,209,40.953,7.456,1.149,41.564,6.731,421
B173000,Vollkornbrot-Roggenvollkornschrottoastbrot,Wholemeal bread - coarse wholemeal rye toast,213,41.608,7.532,3.29,37.778,7.586,389
B173072,Vollkornbrot-Roggenvollkornschrottoastbrot geröstet,Wholemeal bread - coarse wholemeal rye toast toasted,218,40.367,7.692,3.36,38.581,7.747,397
B181000,Vollkornbrot-Roggen/Weizenvollkornbrot,Wholemeal bread - wholemeal rye/wheat bread,205,41.053,7.372,1.221,40.463,7.627,421
B182000,Vollkornbrot-Roggen/Weizenvollkornschrotbrot,Wholemeal bread - coarse wholemeal rye/wheat bread,209,40.953,7.456,1.149,41.564,6.731,421
B191000,Vollkornbrot-Mehrkornvollkornbrot,Wholemeal bread - wholemeal multigrain bread,203,41.861,7.282,1.235,39.84,7.43,434
B191072,Vollkornbrot-Mehrkornvollkornbrot geröstet,Wholemeal bread - wholemeal multigrain bread toasted,207,40.617,7.438,1.261,40.692,7.589,443
B200000,Graubrote,Brown breads,225,37.6,7.38,0.97,45.85,6.1,588
B201000,Graubrot,Brown bread,225,37.6,7.38,0.97,45.85,6.1,588
B202000,Graubrot mit Schrotanteilen,Brown bread with coarse meal,210,42.983,6.282,0.816,43.517,4.562,422
B204000,Graubrot-Toastbrot,Brown bread - toast,243,37.801,6.825,3.381,45.72,4.335,436
B205100,Graubrot mit Soja,Brown bread with soya,232,35.553,9.332,2.239,42.92,7.275,545
B205200,Graubrot mit Kleie,Brown bread with bran,210,40.137,6.304,1.5,42.127,7.36,511
B205500,Graubrot mit Zwiebeln,Brown bread with onions,218,39.374,7.176,0.946,44.504,5.945,569
B205600,Graubrot mit Gewürzen,Brown bread with spices,227,36.965,7.381,1.047,46.315,6.094,570
B206000,Graubrot mit Ölsamen,Brown bread with oilseeds,244,35.095,8.767,2.846,45.027,6.078,544
B206100,Graubrot mit Weizenkeimen,Brown bread with wheat germ,234,34.194,9.315,1.718,44.467,7.151,535
B206300,Graubrot mit Sesam,Brown bread with sesame seeds,250,34.966,8.381,4.631,43.209,6.476,548
B207300,Graubrot mit Buttermilch,Brown bread with buttermilk,214,42.21,6.388,0.84,44.404,4.23,427
B207900,Graubrot mit Käse,Brown bread with cheese,228,37.718,7.854,1.714,44.601,5.934,586
B208600,Graubrot mit Schinken,Brown bread with ham,222,38.54,7.82,1.05,44.546,5.922,599
B208700,Graubrot mit Speck,Brown bread with bacon,227,38.089,7.63,1.783,44.515,5.922,572
B212000,Graubrot-Weizenbrot mit Schrotanteilen,Brown bread - wheat bread with coarse meal,236,36.943,9.2,1.978,44.672,4.989,427
B213000,Graubrot-Weizentoastbrot mit Schrotanteilen,Brown bread - wheat toast with coarse meal,255,34.402,9.689,3.96,44.544,5.03,432
B214000,Körnerbrot glutenfrei,Bread with oilseeds gluten free,240,38.869,4.994,5.263,42.556,7.139,7
B221000,Graubrot-Roggenbrot,Brown bread - rye bread,198,44.51,5.36,1.234,40.747,7.22,452
B222000,Graubrot-Roggenbrot mit Schrotanteilen,Brown bead  - rye bread with coarse meal,212,41.456,6.573,0.928,43.584,5.481,428
B224000,Graubrot-Roggentoastbrot,Brown bread - rye toast,250,34.82,7.596,3.491,46.371,5.585,433
B224072,Graubrot-Roggentoastbrot geröstet,Brown bread - rye toast toasted,255,33.664,7.731,3.553,47.193,5.684,441
B225100,Graubrot-Roggenbrot mit Soja,Brown bread - rye bread with soya,208,41.954,7.461,2.483,38.195,8.312,419
B225200,Graubrot-Roggenbrot mit Kleie,Brown bread - rye bread with bran,197,42.601,5.934,1.418,39.504,9.262,428
B225500,Graubrot-Roggenbrot mit Zwiebeln,Brown bread - rye bread with onions,193,46.057,5.222,1.202,39.569,7.029,438
B225600,Graubrot-Roggenbrot mit Gewürzen,Brown bread - rye bread with spices,202,43.65,5.427,1.302,41.38,7.177,439
B225700,Graubrot-Roggenbrot mit Kümmel,Brown bread - rye bread with caraway seeds,204,43.356,5.835,1.674,40.634,7.4,438
B225800,Graubrot-Roggenbrot mit Malz,Brown bread - rye bread with malt,202,43.912,5.301,1.224,41.705,6.931,436
B226000,Graubrot-Roggenbrot mit Ölsamenzutaten,Brown bread - rye bread with oilseeds,219,41.493,6.897,3.091,40.302,7.115,419
B226100,Graubrot-Roggenbrot mit Weizenkeimen,Brown bread - rye bread with wheat germ,210,40.475,7.479,1.958,39.828,8.17,412
B226200,Graubrot-Roggenbrot mit Leinsamen,Brown bread - rye bread with linseeds,217,41.769,6.613,3.846,38.3,8.367,423
B226300,Graubrot-Roggenbrot mit Sesam,Brown bread - rye bread with sesame seeds,226,41.364,6.511,4.876,38.484,7.513,422
B226400,Graubrot-Roggenbrot mit Mohn,Brown bread - rye bread with poppy seeds,211,42.701,6.155,2.998,39.173,7.792,434
B226500,Graubrot-Roggenbrot mit Sonnenblumenkernen,Brown bread - rye bread with sunflower seeds,219,41.493,6.897,3.091,40.302,7.115,419
B226600,Graubrot-Roggenbrot mit Mandeln,Brown bread - rye bread with almonds,227,41.554,6.742,5.07,38.149,7.527,419
B227100,Graubrot-Roggenbrot mit Milch,Brown bread - rye bread with milk,232,37.883,7.458,2.019,45.256,5.168,439
B227200,Graubrot-Roggenbrot mit Sauermilch,Brown bread - rye bread with soured milk,219,40.314,6.76,1.242,44.412,5.197,432
B227300,Graubrot-Roggenbrot mit Buttermilch,Brown bread - rye bread with buttermilk,217,40.554,6.774,0.962,44.438,5.2,433
B227400,Graubrot-Roggenbrot mit Joghurt,Brown bread - rye bread with yogurt,220,40.217,6.804,1.265,44.438,5.196,431
B227500,Graubrot-Roggenbrot mit Kefir,Brown bread - rye bread with kefir,219,40.323,6.754,1.242,44.395,5.199,432
B227600,Graubrot-Roggenbrot mit Molke,Brown bread - rye bread with whey,216,40.806,6.525,0.937,44.528,5.203,432
B227700,Graubrot-Roggenbrot mit Quark,Brown bread - rye bread with quark,218,40.312,7.286,0.929,44.237,5.197,429
B227800,Graubrot-Roggenbrot mit Milcheiweiß,Brown bread - rye bread with milk protein,207,42.375,6.905,1.22,41.255,6.844,458
B227900,Graubrot-Roggenbrot mit Käse,Brown bread - rye bread with cheese,203,44.441,5.889,1.971,39.637,7.023,454
B228400,Graubrot-Roggenbrot mit Butter,Brown bread - rye bread with butter,224,43.122,5.137,5.137,38.835,6.876,431
B231000,Graubrot-Haferbrot,Brown bread - oat bread,225,40.103,7.802,1.8,43.526,4.619,428
B241000,Graubrot-Gerstenbrot,Brown bread - barley bread,218,41.111,7.268,1.146,43.727,4.629,429
B251000,Graubrot-Weizenmischbrot,Brown bread - mixed wheat bread,236,38.32,8.61,1.514,46.266,4.28,499
B251072,Graubrot-Weizenmischbrot geröstet,Brown bread - mixed wheat bread toasted,241,37.113,8.778,1.544,47.17,4.364,509
B251082,Graubrot-Weizenmischbrot gebraten (zubereitet ohne Fett),Brown bread - mixed wheat bread fried (prepared without fat),236,38.32,8.61,1.514,46.266,4.28,499
B252000,Graubrot-Weizenmischbrot mit Schrotanteilen,Brown bread - mixed wheat bread with coarse meal,219,40.936,7.583,0.896,44.42,4.254,421
